2026/06/03 00:31:14.726, 575.45 W, 54, 22633 MiB, 2782 MHz, 91 %
2026/06/03 00:31:15.238, 574.94 W, 54, 24745 MiB, 2790 MHz, 100 %
2026/06/03 00:31:15.746, 552.05 W, 50, 22633 MiB, 2790 MHz, 100 %
2026/06/03 00:31:16.263, 481.77 W, 55, 22633 MiB, 2790 MHz, 100 %
2026/06/03 00:31:16.771, 576.34 W, 55, 22633 MiB, 2782 MHz, 100 %
2026/06/03 00:31:17.273, 573.17 W, 55, 22633 MiB, 2790 MHz, 94 %
2026/06/03 00:31:17.781, 575.59 W, 55, 22057 MiB, 2775 MHz, 100 %
2026/06/03 00:31:18.287, 408.08 W, 41, 10313 MiB, 2902 MHz, 1 %
2026/06/03 00:31:18.798, 187.10 W, 39, 10889 MiB, 2940 MHz, 3 %
2026/06/03 00:31:19.330, 88.44 W, 38, 11433 MiB, 2932 MHz, 4 %
2026/06/03 00:31:19.849, 91.49 W, 38, 12169 MiB, 2932 MHz, 4 %
2026/06/03 00:31:20.399, 76.25 W, 37, 12875 MiB, 1140 MHz, 7 %
2026/06/03 00:31:20.915, 58.81 W, 37, 13385 MiB, 1177 MHz, 8 %
2026/06/03 00:31:21.428, 56.81 W, 36, 13705 MiB, 1117 MHz, 8 %
2026/06/03 00:31:21.946, 56.97 W, 36, 14089 MiB, 1027 MHz, 8 %
2026/06/03 00:31:22.483, 55.32 W, 36, 14505 MiB, 990 MHz, 8 %
2026/06/03 00:31:23.000, 55.12 W, 36, 14889 MiB, 952 MHz, 8 %
2026/06/03 00:31:23.516, 55.33 W, 36, 15273 MiB, 915 MHz, 7 %
2026/06/03 00:31:24.025, 55.27 W, 36, 15401 MiB, 915 MHz, 8 %
2026/06/03 00:31:24.538, 265.44 W, 49, 15401 MiB, 2677 MHz, 92 %
2026/06/03 00:31:25.054, 534.44 W, 46, 14697 MiB, 2782 MHz, 72 %
2026/06/03 00:31:25.558, 377.03 W, 39, 15273 MiB, 2925 MHz, 1 %
2026/06/03 00:31:26.073, 353.16 W, 52, 15273 MiB, 2835 MHz, 92 %
2026/06/03 00:31:26.577, 508.67 W, 52, 14697 MiB, 2775 MHz, 92 %
2026/06/03 00:31:27.085, 452.20 W, 50, 15273 MiB, 2857 MHz, 71 %
2026/06/03 00:31:27.597, 455.97 W, 54, 15273 MiB, 2797 MHz, 92 %
2026/06/03 00:31:28.102, 553.02 W, 48, 10377 MiB, 2767 MHz, 71 %
2026/06/03 00:31:28.617, 376.05 W, 41, 10601 MiB, 2925 MHz, 3 %
2026/06/03 00:31:29.135, 154.72 W, 40, 2777 MiB, 2940 MHz, 1 %
2026/06/03 00:31:29.650, 87.43 W, 39, 1870 MiB, 2932 MHz, 1 %
2026/06/03 00:31:30.154, 86.91 W, 39, 1870 MiB, 2932 MHz, 1 %
2026/06/03 00:31:30.670, 63.65 W, 37, 1870 MiB, 847 MHz, 1 %
2026/06/03 00:31:31.187, 39.68 W, 37, 1870 MiB, 712 MHz, 1 %
2026/06/03 00:31:31.702, 34.11 W, 37, 1870 MiB, 660 MHz, 1 %
2026/06/03 00:31:32.218, 33.76 W, 37, 1870 MiB, 525 MHz, 1 %
2026/06/03 00:31:32.722, 33.38 W, 37, 1870 MiB, 472 MHz, 1 %
2026/06/03 00:31:33.239, 33.03 W, 36, 1870 MiB, 427 MHz, 1 %
2026/06/03 00:31:33.749, 32.89 W, 36, 1870 MiB, 412 MHz, 1 %
2026/06/03 00:31:34.254, 32.79 W, 36, 1870 MiB, 390 MHz, 1 %
2026/06/03 00:31:34.769, 32.48 W, 36, 1870 MiB, 390 MHz, 1 %
2026/06/03 00:31:35.286
