#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:51:21       0    519     71      -     90     78      0      0      0      0  13801   2872 
 19:51:22       0    518     71      -     91     79      0      0      0      0  13801   2872 
 19:51:23       0    134     63      -      0      0      0      0      0      0  13801   2910 
 19:51:24       0     95     61      -      1      0      0      0      0      0  13801   1635 
 19:51:25       0    347     69      -     90     78      0      0      0      0  13801   2872 
 19:51:26       0    513     70      -     89     77      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:51:27       0    514     70      -     92     80      0      0      0      0  13801   2872 
 19:51:28       0    517     70      -     90     79      0      0      0      0  13801   2872 
 19:51:29       0    519     70      -     91     80      0      0      0      0  13801   2872 
 19:51:30       0    521     70      -     91     80      0      0      0      0  13801   2872 
 19:51:31       0    520     70      -     89     78      0      0      0      0  13801   2872 
 19:51:32       0    519     70      -     91     79      0      0      0      0  13801   2872 
 19:51:33       0    520     71      -     91     80      0      0      0      0  13801   2872 
 19:51:34       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:51:35       0    520     70      -     92     80      0      0      0      0  13801   2872 
 19:51:36       0    520     71      -     92     81      0      0      0      0  13801   2872 
 19:51:37       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:51:38       0    523     71      -     92     80      0      0      0      0  13801   2872 
 19:51:39       0    521     71      -     92     81      0      0      0      0  13801   2872 
 19:51:40       0    517     70      -     91     79      0      0      0      0  13801   2872 
 19:51:41       0    517     71      -     91     79      0      0      0      0  13801   2872 
 19:51:42       0    517     71      -     92     81      0      0      0      0  13801   2872 
 19:51:43       0    518     71      -     91     80      0      0      0      0  13801   2872 
 19:51:44       0    516     71      -     93     81      0      0      0      0  13801   2872 
 19:51:45       0    518     70      -     92     80      0      0      0      0  13801   2872 
 19:51:46       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:51:47       0    516     70      -     92     81      0      0      0      0  13801   2872 
 19:51:49       0    519     71      -     92     80      0      0      0      0  13801   2872 
 19:51:50       0    516     70      -     92     80      0      0      0      0  13801   2872 
 19:51:51       0    516     70      -     92     79      0      0      0      0  13801   2872 
 19:51:52       0    518     71      -     91     79      0      0      0      0  13801   2872 
 19:51:53       0    516     70      -     92     80      0      0      0      0  13801   2872 
 19:51:54       0    515     70      -     92     79      0      0      0      0  13801   2872 
 19:51:55       0    515     71      -     92     80      0      0      0      0  13801   2872 
 19:51:56       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:51:57       0    515     71      -     93     81      0      0      0      0  13801   2872 
 19:51:58       0    516     71      -     90     78      0      0      0      0  13801   2872 
 19:51:59       0    513     71      -     91     79      0      0      0      0  13801   2872 
 19:52:00       0    163     63      -      0      0      0      0      0      0  13801   2910 
 19:52:01       0    104     62      -      0      0      0      0      0      0  13801   2917 
 19:52:02       0    297     69      -     90     77      0      0      0      0  13801   2872 
 19:52:03       0    514     69      -     91     78      0      0      0      0  13801   2872 
 19:52:04       0    513     70      -     91     79      0      0      0      0  13801   2872 
